"Horodateur","How often do you connect to your LMS?","How often do you download documents on your LMS?","What kind of files do you download most of the time on your LMS?","How often do you use your LMS' forum to communicate with teachers or other students?","Apart from when a teacher asks you to, how often do you take quizzes?","Which aspects of an LMS interface do you consider as most important?","Do you trust your LMS in terms of data management and security?","Do you take measures to protect your data when you connect to your LMS? If so, which ones?","Do you know what the following terms are in the context of e-learning? [Cookie]","Do you know what the following terms are in the context of e-learning? [Log]","Do you know what the following terms are in the context of e-learning? [Data analyses]","Do you know what the following terms are in the context of e-learning? [Tracking data]","Do you know what the following terms are in the context of e-learning? [GDPR]","Which of the following people are you willing to share your tracking data with?","Which pieces of data about you do you think your LMS collects?","According to you, why?","Which information can be deduced based on these pieces of data?","Do you think these kind of information may be misinterpreted?","If so, please give an example:","Do you think less data collection shoud go through reducing the use of LMSs?","How much do you feel concerned about your data protection on university platforms?","How concerned are you about the way your data is used by companies?","Does data collection by Google bother you?","How often do you read privacy policies before accepting conditions of an online service? ","How much importance do you give importance to your data protection?","Are you willing to pay for an online service if it guarantees zero-data collection?","Have you ever exercised your GDPR rights in terms of data protection (e.g. data deletion request, opposition to to data collection, portability request)?"
"2025/03/25 11:11:51 AM UTC+2","Several times a week","At least once a month","PDF courses;Exercises and homeworks","Less often","Rarely","Easy access to documents;Compatibility with mobile devices;Design and ergonomics","Yes","No","Yes","Yes","Yes","Yes","No","My teachers;Other students in my group;My university;My e-learning environnement admin","Number of attempts on a quiz;Downloaded files","Students assessment","Attendance;Progression","Yes, often","Une personne qui télécharge les documents et qui participe à des tests ne veut pas forcément dire qu'il travaille en cours","Yes, but this model would not be viable in the long term","Not concerned at all","A bit concerned","No","Never","Some importance","I don't know","No, and I'm not interested"
"2025/03/25 11:14:03 AM UTC+2","Several times a week","At least once a month","PDF courses;Presentation slides;Exercises and homeworks","Less often","Often","Easy access to documents","Yes","VPN","Yes","I have heard of it but I don't know what it is","Yes","Yes","I have heard of it but I don't know what it is","My e-learning environnement admin","IP Address;Number of attempts on a quiz;Downloaded files","Students monitoring","Attendance;Progression","No","","No, as it might happen somewhere else","A bit concerned","Concerned","Yes","Rarely","Some importance","Maybe, depends on the price","No, but I'd like to do so"
"2025/03/25 11:15:11 AM UTC+2","Everyday","Several times a week","PDF courses;Presentation slides","At least once a month","Never","Easy access to documents;Browsing speed;Design and ergonomics","Yes","","Yes","Yes","I have heard of it but I don't know what it is","Yes","I have heard of it but I don't know what it is","My teachers;My university","IP Address;Number of attempts on a quiz;Time spent on a page (course)","Students monitoring","Attendance;Progression","Yes, but rarely","","Yes, but this model would not be viable in the long term","A bit concerned","Concerned","No","Never","A great importance","Maybe, depends on the price","No, but I'd like to do so"
"2025/03/25 11:17:35 AM UTC+2","Everyday","At least once a month","PDF courses;Presentation slides","Several times a week","Rarely","Compatibility with mobile devices","Yes","no","Yes","I have heard of it but I don't know what it is","Yes","Yes","No","My university;My e-learning environnement admin","IP Address;Number of attempts on a quiz;Time spent on a page (course);Downloaded files","Students assessment","Progression;Comprehension","Yes, but rarely","","No, as it might happen somewhere else","A bit concerned","Concerned","No","Never","A bit of importance","No, I prefer using free services even though my data are collected","No, but I'd like to do so"
"2025/03/25 11:17:57 AM UTC+2","Everyday","Several times a week","PDF courses;Presentation slides;Exercises and homeworks","Less often","Never","Easy access to documents;Compatibility with mobile devices;Design and ergonomics","No","no","Yes","I have heard of it but I don't know what it is","Yes","No","No","Other students in my group","IP Address;Number of attempts on a quiz;Time spent on a page (course);Downloaded files","Students monitoring","Attendance;Progression","Yes, often","","No, as it might happen somewhere else","Very concerned","Very concerned","Yes","Never","A bit of importance","Maybe, depends on the price","No, but I'd like to do so"
"2025/03/25 11:18:11 AM UTC+2","Several times a week","At least once a month","PDF courses","Less often","Never","Easy access to documents;Data security;Design and ergonomics","Yes","","Yes","Yes","Yes","Yes","Yes","My teachers;Other students in my group","IP Address;Number of attempts on a quiz;Time spent on a page (course)","Students monitoring","Attendance;Progression;Comprehension","No","","No, as it might happen somewhere else","Concerned","Concerned","No","Never","Some importance","Maybe, depends on the price","No, but I'd like to do so"
"2025/03/25 11:22:49 AM UTC+2","Several times a week","Several times a week","PDF courses;Presentation slides;Exercises and homeworks","Less often","Never","Easy access to documents;Data security;Compatibility with mobile devices","Yes","I refuse all cookies, as with every other websites","Yes","Yes","Yes","Yes","Yes","My university","IP Address;Number of attempts on a quiz;Time spent on a page (course);Downloaded files","Students assessment;Students monitoring","Attendance;Progression","No","","No, as it might happen somewhere else","Concerned","Very concerned","Yes","Rarely","Some importance","Maybe, depends on the price","Yes, several times"
"2025/03/25 11:29:27 AM UTC+2","Several times a week","Several times a week","PDF courses;Presentation slides","Less often","Never","Easy access to documents","Yes","No ","Yes","No","Yes","Yes","No","My teachers;My university;My e-learning environnement admin","IP Address;Number of attempts on a quiz;Time spent on a page (course);Downloaded files;Location","Students monitoring","Attendance","Yes, but rarely","","Yes, but this model would not be viable in the long term","Not concerned at all","A bit concerned","Yes","Rarely","A bit of importance","Maybe, depends on the price","Yes, several times"
"2025/03/25 11:32:36 AM UTC+2","Everyday","At least once a month","PDF courses","At least once a month","Rarely","Easy access to documents;Browsing speed;Compatibility with mobile devices","Yes","","Yes","Yes","Yes","Yes","Yes","My teachers;Other students in my group;My university;My e-learning environnement admin","IP Address;Downloaded files;Location","Necessary","Progression","No","","No","Not concerned at all","Not concerned at all","No","Never","No importance","No, I prefer using free services even though my data are collected","No, and I'm not interested"
"2025/03/25 11:33:43 AM UTC+2","Several times a week","At least once a month","PDF courses;Presentation slides","Several times a week","Rarely","Easy access to documents","Yes","","Yes","Yes","I have heard of it but I don't know what it is","I have heard of it but I don't know what it is","No","Other students in my group;My e-learning environnement admin","IP Address;Number of attempts on a quiz;Time spent on a page (course)","Students assessment;Students monitoring","Attendance;Progression","No","","No, as it might happen somewhere else","Concerned","A bit concerned","No","Never","Some importance","Maybe, depends on the price","No, but I'd like to do so"
